"gen","popA","popB","geo.dist","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10"
12000,pop_2-2,pop_2-5,3,0.531823182639056,0.711845690182532,0.903575632398597,0.830700111439583,0.555464198664446,0.626362446188079,0.74483518445221,0.418704257638613,0.294912313273475,0.405506870417422
12000,pop_2-2,pop_2-8,6,0.595984969320317,0.626615708773044,0.924108069803812,0.558500045227924,0.393345097561378,0.974021486399767,0.643669083049062,0.729522740906168,0.440504971084674,0.430529704392714
12000,pop_2-5,pop_2-8,3,0.478285353476641,0.628528935504513,0.721283750559696,0.639885111007608,0.750656533455066,0.803659173089365,0.516430769498812,0.376829986218002,0.347413841144486,0.588067799402168
12000,pop_2-2,pop_5-2,3,0.62008589498968,0.495811814380888,0.796054420101847,0.50726140986904,0.488955823293173,0.681168564341866,0.541420460221957,0.65491559083635,0.66527956417604,0.479863377844157
12000,pop_2-5,pop_5-2,6,0.761735747839369,0.784627407695406,0.942781507433849,0.501170441711179,0.435402738520359,0.696729534618646,0.652068103818036,0.518101184341054,0.617215915353246,0.370634091215929
12000,pop_2-8,pop_5-2,9,0.537486129531993,0.825095614927797,0.968730263107762,0.544655237841349,0.45624296708383,0.712196431204845,0.399309215316971,0.461304858806587,0.454704784476374,0.615645946194105
12000,pop_2-2,pop_5-5,6,0.531437834313447,0.623141565556748,0.57200072044245,0.658235647451293,0.442752093280593,0.663400876931661,0.385510151226078,0.408517912439827,0.608915246144421,0.478652682279778
12000,pop_2-5,pop_5-5,3,0.682475265688871,0.518875970761607,0.800697955329332,0.58104331625524,0.42764809331424,0.740157903418858,0.721277410251572,0.612694681163679,0.408326383706315,0.699665485589031
12000,pop_2-8,pop_5-5,6,0.517457395633879,0.536124854042802,0.837204562975915,0.671569552466791,0.435293202797887,0.652327116449618,0.90293643671803,0.682568818873879,0.40679823951452,0.388702652094158
12000,pop_5-2,pop_5-5,3,0.400506531208476,0.528647028584608,0.608201292375784,0.746825238150109,0.764381111603498,0.512060048394107,0.78332710978342,0.371377552440515,0.318122094264629,0.555726540883971
12000,pop_2-2,pop_5-8,9,0.544568084636372,0.409246288724881,0.681843542161714,0.618088084784752,0.527134968883472,0.386922914154771,0.851676611799501,0.618564419940415,0.618880440729053,0.441209075180739
12000,pop_2-5,pop_5-8,6,0.697128851540616,0.681439056867113,0.842121783815313,0.599009643239407,0.473614743955593,0.416616390592293,0.922612406155713,0.500250160544528,0.575429063450862,0.324871801889755
12000,pop_2-8,pop_5-8,3,0.464201037010036,0.717006821069884,0.883188819989968,0.654730246131586,0.491150817486829,0.419062460510752,0.674746293742118,0.449105655113745,0.421873180320886,0.584135694553934
12000,pop_5-2,pop_5-8,6,0.459495273458515,0.535197063446795,0.451626504082856,0.77072172410839,0.481145133334925,0.36916533236445,0.695607374146085,0.400610891295478,0.563992411075787,0.439215950315994
12000,pop_5-5,pop_5-8,3,0.612603266548004,0.430275403153915,0.683113530234669,0.68388039154642,0.466823119587287,0.463212689150266,0.972490438936028,0.582899282536326,0.376399428664292,0.675916350491654
12000,pop_2-2,pop_8-2,6,0.457023632366208,0.449356609109362,0.691785631218147,0.475194480267046,0.624369816403257,0.820449308231087,0.687904236144902,0.654991534704763,0.45471131526784,0.582089861993719
12000,pop_2-5,pop_8-2,9,0.618154638810201,0.339289189863491,0.756685699103042,0.321930535292211,0.36368948932807,0.706543603898423,0.735881791926855,0.954907423272824,0.763756850325514,0.46683177814668
12000,pop_2-8,pop_8-2,12,0.790004305913991,0.597204574360701,0.880074016942863,0.330200334364915,0.317548087001911,0.719310162569946,0.821805675382925,0.809698538721027,0.714492928651686,0.351717755247534
12000,pop_5-2,pop_8-2,3,0.523587791670807,0.629186345348712,0.907262606807791,0.363872311084197,0.343491739364043,0.735567715458276,0.577654079637357,0.756447422991549,0.557758075835371,0.611681925242043
12000,pop_5-5,pop_8-2,6,0.517198062571224,0.462870791594332,0.552306505884649,0.490842772693169,0.323639673857599,0.689752187208795,0.583220581636913,0.709232560931538,0.720169216573736,0.465294056284292
