"gen","popA","popB","geo.dist","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10"
12000,pop_2-2,pop_2-5,3,0.524362262294117,0.474409364719956,0.449149606081343,0.709561435950637,0.362015052787068,0.336310752176662,0.29818696029146,0.866302688545533,0.539281252979478,0.243701611586272
12000,pop_2-2,pop_2-8,6,0.615308151093439,0.432774645720214,0.572103285166806,0.495593726789644,0.326218803000951,0.56685894956358,0.426153010393149,0.627176299664934,0.363251094312858,0.630348683699619
12000,pop_2-5,pop_2-8,3,0.747328325074748,0.579250144289474,0.371864414146235,0.584757616747407,0.302651350191464,0.433293581671448,0.387848361067569,0.600303225821368,0.344974593876716,0.539711388810873
12000,pop_2-2,pop_5-2,3,0.497669854700161,0.45595663308492,0.396370645806528,0.445637804531594,0.454161727716904,0.608660711165981,0.295616947757927,0.698802558165918,0.407962746005336,0.351677801134826
12000,pop_2-5,pop_5-2,6,0.468364048412312,0.618195781389363,0.312808331274545,0.634634692362022,0.548858524521715,0.603723265178058,0.359084346652982,0.716479325737522,0.509280194398823,0.350913873483794
12000,pop_2-8,pop_5-2,9,0.768386012135308,0.529587179008278,0.478119475108794,0.551706340323582,0.529460598309189,0.688996986802308,0.5734303603817,0.589406666751295,0.578882811441448,0.632949159781003
12000,pop_2-2,pop_5-5,6,0.609346853429265,0.345758461416195,0.385290148448043,0.409574468085106,0.455625702854623,0.598345327817759,0.515663806024404,0.664740382313069,0.337646479697624,0.532027107627425
12000,pop_2-5,pop_5-5,3,0.634109234748212,0.618672268241052,0.321816530081932,0.452313903833519,0.492641753537031,0.351763597661307,0.428171826487712,0.698257172221052,0.327429860707493,0.47801157056532
12000,pop_2-8,pop_5-5,6,0.410718875846114,0.528996566385366,0.603251495540732,0.681125621323829,0.348757715130501,0.598523973472416,0.498057959646615,0.708618458341205,0.546067466233733,0.650830769108484
12000,pop_5-2,pop_5-5,3,0.572102728341931,0.69371051314312,0.412100944592671,0.781762219640167,0.327248148241812,0.459957634516741,0.453735999077551,0.681713340067072,0.516789503274631,0.563483474814918
12000,pop_2-2,pop_5-8,9,0.298134371053623,0.562243720897318,0.437133841251076,0.603419272409622,0.460429902543779,0.645210275516229,0.356213877628467,0.783928067580275,0.601776906434086,0.381584623461622
12000,pop_2-5,pop_5-8,6,0.274482658785429,0.7412790608479,0.354495959515964,0.811325872350796,0.538207248579429,0.63835226331655,0.424401780896025,0.804541734103363,0.694368590127651,0.381618144002497
12000,pop_2-8,pop_5-8,3,0.592072834521158,0.653612956037008,0.512387221277926,0.735730868690483,0.52271988190981,0.725991619564131,0.670824301165575,0.673418365729551,0.770362511919881,0.653255438084328
12000,pop_5-2,pop_5-8,6,0.421753246753247,0.434281628669507,0.427965241535671,0.58699389402056,0.461666023628593,0.631112548532007,0.601697526149083,0.748692811043695,0.525856180578178,0.557962598489404
12000,pop_5-5,pop_5-8,3,0.430558112604427,0.73384237796564,0.365496947425369,0.62920542518566,0.492682097747004,0.3740666476898,0.500576061582718,0.786413687804283,0.501495392001469,0.504880015384672
12000,pop_2-2,pop_8-2,6,0.670500838162049,0.631505359780809,0.520946754608173,0.555654506201915,0.293324168298973,0.70202458068811,0.568965270599569,0.44198689070675,0.33871644813196,0.897415755411738
12000,pop_2-5,pop_8-2,9,0.375820224719101,0.510191343979405,0.553513343222727,0.418284764929322,0.431694106970573,0.888979882313233,0.484961807413992,0.540508734858661,0.404557041512371,0.734405368263131
12000,pop_2-8,pop_8-2,12,0.349076919579756,0.671655489943566,0.458955148091326,0.608758804604457,0.512818327528044,0.86212376411063,0.547286083032813,0.55543386559338,0.513336368826555,0.756468095125971
12000,pop_5-2,pop_8-2,3,0.694809482357309,0.587542489587685,0.625504557586553,0.523126357631528,0.496700386931627,0.918619352146215,0.770897029365729,0.426995479951547,0.589511812689492,1
12000,pop_5-5,pop_8-2,6,0.505306399592599,0.395339153119185,0.549330483451667,0.379258191147481,0.433282457495837,0.84066641674379,0.708972235828556,0.506064747956054,0.330669598562656,0.954645723855171
12000,pop_5-8,pop_8-2,9,0.521794871794872,0.669507558424715,0.477757158996538,0.4226599526328,0.46547200826281,0.593283076590089,0.61629100509031,0.535944158779668,0.320391459202475,0.870312754483937
12000,pop_2-2,pop_8-5,9,0.548129997347702,0.673387674293771,0.362367139976221,0.498002965033393,0.409480433593889,0.763407043264145,0.444023276829185,0.512586985661911,0.38306827197353,0.650400015860925
12000,pop_2-5,pop_8-5,6,0.516350878998229,0.830210330929672,0.284301081618501,0.692880993297516,0.489438371050876,0.747208008572887,0.50489723479003,0.527224912518953,0.486643810360334,0.66429646087689
12000,pop_2-8,pop_8-5,9,0.818824701821252,0.768187263895369,0.44001495464385,0.611541308176043,0.473658660005735,0.826659848961611,0.715365751619288,0.398130138386071,0.557123401752287,0.89825712651636
12000,pop_5-2,pop_8-5,6,0.658036065535787,0.538936486512798,0.351016202634762,0.467305841595971,0.411258632919945,0.73303888547406,0.658253462332431,0.477950438094178,0.312402107361526,0.839944780249285
12000,pop_5-5,pop_8-5,3,0.689523879168246,0.816633275535231,0.291710931902341,0.509991449336448,0.442993057973862,0.468087746391293,0.57143423777526,0.507484813359435,0.303309943030853,0.773710533876762
12000,pop_5-8,pop_8-5,6,0.237217591543648,0.719937507316859,0.30464848109,0.547988245530648,0.627736195629535,0.949397894602646,0.416078006759982,0.628780684387176,0.566190881864009,0.483798842877488
12000,pop_8-2,pop_8-5,3,0.569249909434493,0.629930785488057,0.465492653272075,0.470612161168868,0.610504399267392,1,0.640820775473116,0.499035223040129,0.647578372402121,0.736311671316533
12000,pop_2-2,pop_8-8,12,0.389220082873887,0.416246285037678,0.374778576149869,0.339036340923892,0.544288878951881,0.913940825213241,0.579341835136258,0.577648766328012,0.378055560532419,0.654625960900082
12000,pop_2-5,pop_8-8,9,0.396535534042368,0.714162546444152,0.313131313131313,0.379725472913668,0.577597507537141,0.634554130996816,0.487235550899508,0.609464511171218,0.364806018160464,0.599986427685588
12000,pop_2-8,pop_8-8,6,0.536176596516892,0.824453666238797,0.383341072174507,0.658278338919382,0.701398101097681,0.964332859283878,0.703431246612136,0.513877551020408,0.734393338035944,0.758436267911808
12000,pop_5-2,pop_8-8,9,0.36319326095349,0.576504855225631,0.292176207772915,0.525694621320834,0.626419229930033,0.885579471787668,0.641931716552148,0.593334327897215,0.49194811937365,0.670801060967812
12000,pop_5-5,pop_8-8,6,0.369140391861695,0.859928705542118,0.234647755628316,0.564992740078124,0.663552704897625,0.628391282973726,0.549790277731702,0.626133673709713,0.470893419033786,0.611036267029253
12000,pop_5-8,pop_8-8,3,0.679014371043464,0.486947366112539,0.457661050500607,0.437502486432963,0.609540725266918,0.936355789730481,0.88149165833227,0.463584466929029,0.571535222131022,0.955156331256283
12000,pop_8-2,pop_8-8,6,0.714125481545123,0.808049279600372,0.395823189144315,0.479591836734694,0.645566065539099,0.70627559506532,0.775113108049815,0.493572711989876,0.542839701204227,0.871484535901773
12000,pop_8-5,pop_8-8,3,0.525094283707694,0.578551122786881,0.300218228506273,0.338105630582305,0.57724117101657,0.62238103483521,0.712565359301303,0.573804587086516,0.293437661411844,0.800323421916536
