"gen","popA","popB","geo.dist","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10"
12000,pop_2-2,pop_2-5,3,0.142000218323974,0.128080844033317,0.0981293271158087,0.0591621401714684,0.116699665163002,0.122680367940933,0.208027862395913,0.114762620539741,0.109544190509941,0.101033748162829
12000,pop_2-2,pop_2-8,6,0.171018608195765,0.149198592146656,0.0985085772907825,0.121074095164536,0.132621157833496,0.146184204144492,0.17933224997958,0.109857535805934,0.139243564677272,0.135197043066722
12000,pop_2-5,pop_2-8,3,0.143397813837009,0.10763998950703,0.113195156662881,0.196882212170873,0.132009454446001,0.143038254876213,0.172230546980779,0.0807852294105252,0.117550476324726,0.121260274524828
12000,pop_2-2,pop_5-2,3,0.152707600748341,0.124123936379804,0.107790374647947,0.169862829572146,0.116067870167294,0.257499288638489,0.193679120851487,0.116966701701053,0.116396544366646,0.160585809954476
12000,pop_2-5,pop_5-2,6,0.142583450441689,0.124302161536326,0.104596804689046,0.118636759743614,0.115275672354613,0.141935970076699,0.20992651808882,0.13415075735871,0.151374396271687,0.138185734535792
12000,pop_2-8,pop_5-2,9,0.140436716849456,0.139354011652606,0.0930180168446534,0.142748159207112,0.109883049929814,0.158041940647086,0.234638026191941,0.0861188838349601,0.109531230787755,0.112308302199773
12000,pop_2-2,pop_5-5,6,0.157854485459778,0.110288900380032,0.105483407810792,0.161399655018233,0.167024587207087,0.123013512222784,0.170335166916291,0.16849101095527,0.128521956219565,0.115973810200041
12000,pop_2-5,pop_5-5,3,0.137701177149487,0.125647096649029,0.102596495638039,0.138786951040636,0.144500963523611,0.177979249057424,0.181689058407538,0.0997925468034494,0.139541660586406,0.111237595339308
12000,pop_2-8,pop_5-5,6,0.14212695924959,0.126320496441305,0.136306232707419,0.130603379364658,0.114426812650859,0.137981078447434,0.115178447772508,0.12325040964291,0.132420294528369,0.109864106668694
12000,pop_5-2,pop_5-5,3,0.122973549209167,0.0911337883624042,0.162377208580559,0.213599582667147,0.116954805555485,0.145540782039711,0.117365937313224,0.101446471483107,0.119230458436762,0.0972051366803302
12000,pop_2-2,pop_5-8,9,0.13346687183002,0.125873620960445,0.143338353689962,0.153039247187467,0.0976679806875372,0.2438805692693,0.120359209588278,0.170526779334414,0.127177450595373,0.138676088263858
12000,pop_2-5,pop_5-8,6,0.123654180310185,0.116808942170697,0.140046052113552,0.129114404505807,0.0992642366880965,0.135709327250073,0.149012454570896,0.15152340492472,0.130881914187443,0.113332324808295
12000,pop_2-8,pop_5-8,3,0.12148120335418,0.140433678755752,0.137535690107702,0.135963227299262,0.0935015903732241,0.157805454459744,0.169456104691726,0.119245767131973,0.107340502731717,0.090041369742814
12000,pop_5-2,pop_5-8,6,0.138509546516549,0.106079178830523,0.137028023493906,0.172599139990444,0.152029520560775,0.116548083003046,0.0993430208790559,0.185152668842075,0.120907118120261,0.0886482067616576
12000,pop_5-5,pop_5-8,3,0.118799369253243,0.118124532051465,0.13945322969606,0.149592651506881,0.128980607362552,0.169964314947812,0.117520361819601,0.117231017140848,0.119730226393521,0.0892054314683192
12000,pop_2-2,pop_8-2,6,0.139274452273304,0.136346742439665,0.144303013629407,0.15573381125761,0.117917333284811,0.135270225371777,0.0882002962541243,0.0911948347341206,0.136264198624558,0.115281274293301
12000,pop_2-5,pop_8-2,9,0.138615788405554,0.136109657211601,0.126063100427571,0.125040877587587,0.106605927793871,0.234566512680105,0.0987240675933584,0.14523869067918,0.127411999009129,0.154170483391266
12000,pop_2-8,pop_8-2,12,0.106906655950008,0.12327613565159,0.0922087762170252,0.0604118471374674,0.08709140160721,0.124327562484755,0.120897683397683,0.11631458250429,0.136671007253877,0.141212754430632
